,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,cons.conf.idx,euribor3m,y
0,55.0,8,2,4,0,0,1,0,7,4,371,1.0,999,0,3,-42.7,4.963,1
1,46.0,4,2,1,0,0,1,0,8,3,10,14.0,999,0,3,-36.1,4.964,1
2,34.0,10,2,6,0,2,2,0,9,5,126,1.0,6,4,2,-37.5,0.883,1
3,39.0,4,2,1,0,1,1,1,5,5,83,3.0,999,0,3,-36.4,4.855,1
4,26.0,10,3,4,0,0,0,0,7,4,224,2.0,999,0,3,-42.7,4.958,1
5,36.0,8,3,2,2,1,1,1,5,3,501,2.0,999,0,3,-36.4,4.858,1
6,51.0,5,2,4,2,0,0,0,11,3,178,3.0,999,0,3,-42.0,4.12,1
7,33.0,1,2,7,0,1,0,1,6,3,379,5.0,999,0,3,-41.8,4.962,1
8,26.0,2,2,3,0,1,0,1,6,1,102,35.0,999,0,3,-41.8,4.96,1
9,57.0,2,2,1,0,1,0,0,5,2,145,1.0,999,0,3,-46.2,1.344,1
10,39.0,10,1,6,0,1,0,0,8,4,97,2.0,999,0,3,-36.1,4.962,1
11,28.0,1,3,7,0,0,0,1,6,1,78,5.0,999,0,3,-41.8,4.96,1
12,50.0,2,2,3,0,1,0,1,5,4,697,3.0,999,0,3,-36.4,4.86,0
13,43.0,1,2,4,0,0,0,0,7,1,999,2.0,999,0,3,-42.7,4.96,0
14,52.0,1,2,4,0,1,0,0,11,3,130,2.0,999,1,1,-42.0,4.12,1
15,52.0,6,2,1,2,1,1,0,4,4,449,2.0,999,0,3,-47.1,1.41,1
16,57.0,6,2,2,0,0,1,0,5,4,93,1.0,999,1,1,-46.2,1.327,1
17,38.0,1,2,7,0,0,0,0,8,4,1126,3.0,999,0,3,-36.1,4.962,0
18,46.0,1,2,4,0,1,1,0,11,1,165,1.0,999,0,3,-42.0,4.191,1
19,47.0,5,2,1,2,0,0,1,5,1,882,1.0,999,0,3,-36.4,4.858,0
20,29.0,10,1,6,0,1,0,1,6,3,11,19.0,999,0,3,-41.8,4.962,1
21,47.0,5,2,3,0,0,0,0,11,3,169,1.0,999,0,3,-42.0,4.12,1
22,32.0,2,2,7,0,0,1,0,5,4,159,1.0,999,0,3,-46.2,1.266,1
23,45.0,1,1,7,0,0,0,0,5,1,507,1.0,999,0,3,-46.2,1.244,0
24,40.0,1,2,7,2,1,1,1,5,3,603,5.0,999,0,3,-36.4,4.858,1
25,46.0,4,2,1,0,0,0,0,8,2,240,4.0,999,0,3,-36.1,4.965,1
26,37.0,1,1,4,0,0,0,0,7,2,81,4.0,999,0,3,-42.7,4.961,1
27,30.0,1,3,3,0,0,0,0,11,4,106,2.0,999,1,1,-42.0,4.076,1
28,28.0,1,3,4,0,0,0,0,7,1,154,1.0,999,0,3,-42.7,4.96,1
29,49.0,10,3,7,0,0,0,1,5,1,8,1.0,999,0,3,-40.0,0.701,1
30,40.0,5,2,7,0,1,0,0,8,1,159,4.0,999,0,3,-36.1,4.965,1
31,56.0,8,2,4,2,1,0,1,5,5,26,2.0,999,0,3,-36.4,4.855,1
32,38.0,1,3,3,0,0,0,1,5,5,353,2.0,999,0,3,-36.4,4.857,1
33,31.0,8,1,4,0,1,0,0,4,1,267,1.0,999,0,3,-47.1,1.405,1
34,34.0,8,1,4,0,0,1,0,7,2,101,2.0,999,0,3,-42.7,4.961,1
35,59.0,1,1,6,0,1,0,1,8,2,91,1.0,999,1,1,-31.4,0.883,1
36,43.0,10,1,6,2,0,0,0,4,1,131,2.0,999,1,1,-47.1,1.405,1
37,26.0,10,2,6,0,1,0,1,5,2,345,2.0,999,0,3,-36.4,4.857,1
38,33.0,8,3,4,0,2,2,0,5,1,216,1.0,999,1,1,-46.2,1.299,1
39,38.0,1,2,2,0,1,0,0,7,4,135,3.0,999,0,3,-42.7,4.968,1
40,34.0,2,2,3,2,0,1,1,5,5,1245,19.0,999,0,3,-36.4,4.859,1
41,34.0,10,1,6,0,1,0,0,5,5,1190,2.0,999,0,3,-46.2,1.25,0
42,76.0,6,2,1,0,1,0,0,9,1,136,1.0,999,2,1,-37.5,0.882,1
43,52.0,7,2,7,0,0,0,1,5,5,151,3.0,999,0,3,-36.4,4.864,1
44,38.0,5,2,7,0,0,0,0,9,3,149,2.0,999,1,1,-37.5,0.88,1
45,29.0,1,2,7,0,0,0,0,7,3,319,5.0,999,0,3,-42.7,4.957,1
46,31.0,2,2,2,2,1,0,0,5,3,290,2.0,999,0,3,-46.2,1.334,1
47,34.0,1,2,7,0,0,0,0,7,2,145,2.0,999,0,3,-42.7,4.962,1
48,38.0,1,2,2,0,1,0,1,5,4,229,1.0,999,0,3,-36.4,4.86,1
49,41.0,10,1,7,0,1,0,0,8,5,191,1.0,999,0,3,-36.1,4.966,1
50,32.0,10,2,3,0,0,0,1,6,5,82,1.0,999,0,3,-41.8,4.967,1
51,37.0,2,2,4,0,1,0,0,4,1,9,5.0,999,0,3,-47.1,1.405,1
52,59.0,2,2,6,0,0,0,1,10,2,19,1.0,999,0,3,-40.4,4.968,1
53,45.0,10,2,6,0,0,0,0,5,4,183,1.0,999,0,3,-46.2,1.327,1
54,58.0,3,2,7,0,0,0,1,7,3,38,1.0,999,0,3,-42.7,4.963,1
55,24.0,9,3,4,0,1,0,0,7,2,153,1.0,999,0,3,-42.7,4.961,1
56,36.0,10,2,8,0,0,0,1,5,2,105,2.0,999,0,3,-36.4,4.857,1
57,30.0,1,3,7,0,1,0,0,8,1,374,12.0,999,0,3,-36.1,4.963,1
58,38.0,2,2,1,0,1,0,0,5,4,130,2.0,999,0,3,-46.2,1.266,1
59,50.0,6,2,6,0,1,1,0,7,5,460,5.0,999,0,3,-42.7,4.962,1
60,23.0,1,3,7,0,0,1,0,7,5,76,2.0,999,1,1,-40.3,0.896,1
61,28.0,1,3,7,0,1,0,1,5,5,250,1.0,999,0,3,-36.4,4.859,1
62,48.0,8,2,4,0,1,0,1,5,4,859,2.0,999,0,3,-36.4,4.86,1
63,45.0,8,1,4,0,0,0,1,6,3,101,5.0,999,0,3,-41.8,4.959,1
64,48.0,1,2,8,2,0,1,0,11,2,63,3.0,999,0,3,-42.0,4.153,1
65,51.0,2,2,3,0,1,0,0,4,1,104,4.0,999,0,3,-47.1,1.405,1
66,55.0,5,2,3,0,1,0,0,7,3,49,1.0,999,0,3,-42.7,4.957,1
